City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
132,San Rafael,AR,77.32,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
133,Santa Maria,BR,84.2,light rain,-29.6842,-53.8069,Hotel Morotin
134,Kavaratti,IN,80.47,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
138,Tomatlan,MX,87.4,clear sky,19.9333,-105.25,Norma franco
140,Mahibadhoo,MV,80.74,few clouds,3.7833,72.9667,Omadhoo Inn
145,Arraial Do Cabo,BR,89.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
151,Puerto Ayora,EC,84.2,few clouds,-0.7393,-90.3518,Castillo Galapagos
169,The Valley,AI,82.4,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
170,Ilebo,CD,76.64,overcast clouds,-4.3167,20.5833,Hôtel des palmes
171,Mar Del Plata,AR,78.8,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
177,Porto Novo,BJ,87.8,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
178,Isangel,VU,78.84,light rain,-19.55,169.2667,Volcano Sea View Tree House
179,Alice Springs,AU,86.0,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
182,Kudahuvadhoo,MV,81.16,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
191,Cidreira,BR,77.23,moderate rain,-30.1811,-50.2056,Hotel Castelo
192,Itarema,BR,87.94,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
199,Bac Lieu,VN,76.44,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
201,Toamasina,MG,84.2,light rain,-18.1667,49.3833,Hotel H1
209,Guanica,PR,84.99,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
211,Soyo,AO,80.62,scattered clouds,-6.1349,12.3689,Hotel Mpampa
213,Luwuk,ID,78.49,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
217,Rio Branco,BR,86.0,scattered clouds,-9.9747,-67.81,João Paulo Hotel
219,Padang,ID,78.8,moderate rain,-0.9492,100.3543,Mercure Padang
220,Gouyave,GD,86.0,scattered clouds,12.1646,-61.7296,Rumboat Retreat
227,Bathsheba,BB,84.2,few clouds,13.2167,-59.5167,Atlantis Hotel
228,Andros Town,BS,77.0,overcast clouds,24.7,-77.7667,Hanks place
229,Sao Domingos,BR,88.92,clear sky,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
240,San Pedro,PH,78.01,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
242,Bambous Virieux,MU,80.01,moderate rain,-20.3428,57.7575,Casa Tia Villa
245,Namibe,AO,76.68,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
246,Cuyamel,HN,80.6,scattered clouds,15.6667,-88.2,Hotel Dilcia
255,Rehoboth,,86.47,clear sky,-23.3167,17.0833,Noble Luminous Accommodation
261,Cruzeiro Do Sul,BR,83.52,broken clouds,-29.5128,-51.9853,Estrela Palace Hotel
263,Lom Sak,TH,75.96,scattered clouds,16.7798,101.2422,บ้านวรฉัตร หล่มสัก
265,Moyobamba,PE,84.04,broken clouds,-6.05,-76.9667,LA CASA DE MI SUEÑO - Garden Home Lodge
268,Kattivakkam,IN,77.0,mist,13.2167,80.3167,Raj's villa
270,Bengkulu,ID,75.61,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
272,Tautira,PF,77.0,few clouds,-17.7333,-149.15,Pension Oaoa
273,Sawakin,SD,79.14,broken clouds,19.1059,37.3321,فندق الدويم
275,Honiara,SB,79.2,light rain,-9.4333,159.95,Heritage Park Hotel
284,Touros,BR,86.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
285,Benguela,AO,79.75,clear sky,-12.5763,13.4055,Hotel Praia Morena
293,Careiro Da Varzea,BR,80.6,moderate rain,-3.2003,-59.8119,POUSADA DA ALDENORA
298,Guaratuba,BR,84.99,overcast clouds,-25.8828,-48.5747,Hotel Santa Paula
299,Djambala,CG,75.24,scattered clouds,-2.5447,14.7533,Hotel Ravin D'or
302,Port-Gentil,GA,84.2,few clouds,-0.7193,8.7815,Fengshui Residence
304,Cayenne,GF,84.2,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
308,Kununurra,AU,77.0,overcast clouds,-15.7667,128.7333,Hotel Kununurra
309,Nouadhibou,MR,86.0,dust,20.930999999999997,-17.0347,El Medina
310,Nargana,PA,81.32,few clouds,9.4428,-78.5906,Dubbir
315,Pitimbu,BR,87.8,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
319,Meulaboh,ID,76.68,overcast clouds,4.1363,96.1285,Kost Pria
323,Bireun,ID,77.18,broken clouds,5.202999999999999,96.7009,Hotel Fajar
326,Manggar,ID,77.5,overcast clouds,-2.8833,108.2667,Guest Hotel
328,Perene,PE,84.7,broken clouds,-10.9492,-75.2261,"HOSPEDAJE ""CORONADO"""
329,Grand Gaube,MU,80.01,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
332,Talara,PE,84.2,clear sky,-4.5772,-81.2719,Hostal Oro Negro
334,Aloleng,PH,78.26,scattered clouds,16.1307,119.7824,Agno Umbrella Rocks
336,Salta,AR,80.6,few clouds,-24.7859,-65.4117,Hotel Alejandro I
338,Saint-Pierre,RE,82.4,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
343,Olinda,BR,82.4,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
346,Quatre Cocos,MU,80.01,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
349,Riyadh,SA,75.2,clear sky,24.6877,46.7219,InterContinental Riyadh
352,Kirakira,SB,81.21,moderate rain,-10.4544,161.9205,SanBiz Lodge
355,Mahebourg,MU,78.8,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
356,Yarada,IN,77.0,mist,17.65,83.2667,"D-26/2, Dolphin Hill,"
362,Hualmay,PE,77.22,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
363,Namatanai,PG,80.55,overcast clouds,-3.6667,152.4333,Namatanai Hotel
365,Kupang,ID,79.83,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
366,Yulara,AU,86.0,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
367,San Luis,AR,84.61,broken clouds,-33.295,-66.3356,Huarpes Hotel
369,Biltine,TD,81.43,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
372,Bonthe,SL,83.89,few clouds,7.5264,-12.505,Bonthe Holiday Village
373,Puerto Plata,DO,84.2,few clouds,19.7934,-70.6884,Be Live Collection Marien
375,Sechura,PE,81.59,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
381,Ambon,ID,77.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
382,Port Blair,IN,79.54,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
383,Praia,CV,80.6,clear sky,14.9215,-23.5087,LT Aparthotel
387,Parrita,CR,77.0,few clouds,9.5201,-84.3225,Beso del Viento
390,Robertsport,LR,82.15,clear sky,6.7533,-11.3686,Kwepunha Retreat
391,Pimentel,PE,78.8,clear sky,-6.8367,-79.9342,Casona Del Muelle
392,Kalianget,ID,79.57,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
394,Araceli,PH,80.26,broken clouds,10.5529,119.9913,JBryan Traveler's Inn
396,Bubaque,GW,79.39,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
398,Acapulco,MX,84.2,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
406,Ituporanga,BR,84.99,broken clouds,-27.4144,-49.6025,Hotel Jacaré
408,Sao Miguel Do Araguaia,BR,82.49,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
420,Cordoba,AR,80.6,broken clouds,-31.4135,-64.1811,Sheraton Cordoba Hotel
421,Mareeba,AU,75.2,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
422,Karratha,AU,85.1,light rain,-20.7377,116.8463,ibis Styles Karratha
425,Banda Aceh,ID,78.21,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
428,Vangaindrano,MG,79.57,few clouds,-23.35,47.6,Hotel Fanilo
430,El Alto,PE,84.2,clear sky,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
446,Caravelas,BR,85.59,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
454,Sambava,MG,79.83,light rain,-14.2667,50.1667,Melrose
456,Tomohon,ID,77.0,scattered clouds,1.3346,124.8392,Gardenia Country Inn
458,Vaitape,PF,81.23,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
461,Puerto Colombia,CO,86.0,few clouds,10.9878,-74.9547,Hotel El Emigrante
462,Timon,BR,89.6,scattered clouds,-5.0942,-42.8367,Metropolitan Hotel‎
468,Siocon,PH,77.94,scattered clouds,7.7061,122.1353,ABS Hotel
473,Lodwar,KE,87.75,clear sky,3.1191,35.5973,Turkwel Lodge
475,Kloulklubed,PW,77.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
482,Atar,MR,86.56,clear sky,20.5169,-13.0499,Oumou Elghoura
486,Paramonga,PE,76.95,clear sky,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
499,Barinas,VE,89.69,broken clouds,8.6226,-70.2075,Hotel Suites Mastranto
500,Alta Floresta,BR,79.9,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
501,Innisfail,AU,75.7,overcast clouds,-17.5333,146.0333,Moondarra Motel
508,Vila Velha,BR,90.0,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
509,Pauini,BR,85.57,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
510,Calvinia,ZA,76.46,clear sky,-31.4707,19.776,Die Lemoenhuis
520,San Miguel,SV,89.6,clear sky,13.4833,-88.1833,Excalibur
523,Angoche,MZ,81.27,broken clouds,-16.2325,39.9086,Guest House HESADA
531,Upata,VE,84.0,broken clouds,8.0086,-62.3989,Posada Villa Nela
533,Gizo,SB,82.99,moderate rain,-8.103,156.8419,Imagination Island
534,Banyo,CM,81.27,broken clouds,6.75,11.8167,Motel JOMBA
545,Morant Bay,JM,87.01,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
546,Takoradi,GH,82.65,overcast clouds,4.8845,-1.7554,Raybow International Hotel
548,Alofi,NU,75.2,light rain,-19.0595,-169.9187,Taloa Heights
553,Natal,BR,86.0,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
557,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
559,Samana,DO,82.4,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
562,Tilaran,CR,84.2,clear sky,10.4703,-84.9671,Hotel Naralit
567,San Cristobal,VE,86.0,few clouds,7.7669,-72.225,Pirineos
568,Samarai,PG,80.85,overcast clouds,-10.6167,150.6667,Nuli Sapi
570,Cap Malheureux,MU,80.01,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
575,Jizan,SA,78.8,clear sky,17.3333,42.6667,شهدان. ابوالحجر
576,Porto Nacional,BR,84.2,broken clouds,-10.7081,-48.4172,Vila Real Hotel
583,Mount Isa,AU,78.8,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
586,Sainte-Marie,RE,77.0,overcast clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
590,Nhulunbuy,AU,77.0,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
592,Rio Cuarto,AR,87.53,scattered clouds,-33.1307,-64.3499,Hotel Menossi
597,Harper,LR,81.52,light rain,4.375,-7.7169,Screensaver
598,Humaita,BR,84.52,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
602,Placido De Castro,BR,76.62,overcast clouds,-10.3353,-67.1856,Hotel Carioca
603,Lorengau,PG,81.0,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
607,Sucua,EC,77.0,light rain,-2.4667,-78.1667,Hotel Barza
608,Nicoya,CR,84.2,clear sky,10.1483,-85.45200000000001,Guayacan Real
611,Grand-Santi,GF,85.87,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
612,Yeppoon,AU,75.2,scattered clouds,-23.1333,150.7333,Villa Mar Colina
614,Valparaiso,CL,78.8,clear sky,-33.0393,-71.6273,Hotel Ultramar
615,Byron Bay,AU,75.2,scattered clouds,-28.65,153.6167,Backpackers Inn on the Beach
619,Oranjestad,AW,84.2,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
620,Waingapu,ID,78.8,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
621,Bontang,ID,76.05,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
622,Barkly West,ZA,78.8,clear sky,-28.5354,24.5215,Stafford Parker Guest House
629,San Lorenzo,PY,89.6,broken clouds,-25.3333,-57.5333,Canarias Hotel
633,Mandeville,JM,84.2,few clouds,18.0417,-77.5071,Mandeville Hotel
635,Kuching,MY,77.0,scattered clouds,1.55,110.3333,Hilton Kuching
639,Sabancuy,MX,81.75,few clouds,18.9667,-91.1833,pulpo
650,Jacareacanga,BR,88.39,broken clouds,-6.2222,-57.7528,Casa do Ian😎
652,Otjiwarongo,,81.28,broken clouds,-20.4637,16.6477,Out of Africa Guest House
653,Mackay,AU,80.6,broken clouds,-21.15,149.2,International Lodge Motel
658,Mozarlandia,BR,89.15,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
661,Vao,NC,77.02,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
663,Vicosa Do Ceara,BR,81.03,overcast clouds,-3.5622,-41.0922,Pousada Sitio Ipe
664,Alcantara,BR,80.6,light rain,-2.4089,-44.4147,Pousada da Josefa
673,Necochea,AR,79.0,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
675,Juruti,BR,87.1,overcast clouds,-2.1522,-56.0922,Hotel Acauã - ORLA
676,Miramar,US,75.2,scattered clouds,25.9873,-80.2323,Stadium Hotel
